title,url
1Kocaeli'de bugün denize girmek yasak,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/kocaelide-bugun-denize-girmek-yasak-872278.html
2Serinlemek için girdikleri baraj gölünden cansız bedenleri çıktı,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/serinlemek-icin-girdikleri-baraj-golunden-cansiz-bedenleri-cikti-872281.html
3Düzce'de 11 yıl hapis cezası bulunan firari hükümlü yakalandı,https://www.trthaber.comhttps://www.trthaber.com/haber/guncel/duzcede-11-yil-hapis-cezasi-bulunan-firari-hukumlu-yakalandi-872277.html
5BM: İsrail'in son tahliye emrinin ardından binlerce Filistinli Gazze'nin batısına kaçıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/bm-israilin-son-tahliye-emrinin-ardindan-binlerce-filistinli-gazzenin-batisina-kaciyor-872283.html
"6Hamas: İsrail'in okullara düzenlediği saldırıların amacı sivilleri yok etmek, yerinden etmek ve korkutmak",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/hamas-israilin-okullara-duzenledigi-saldirilarin-amaci-sivilleri-yok-etmek-yerinden-etmek-ve-korkutmak-872285.html
İngiltere'de yalan haber başlattığı iddiasıyla bir kişi gözaltına alındı,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/ingilterede-yalan-haber-baslattigi-iddiasiyla-bir-kisi-gozaltina-alindi-872292.html
"İngiltere'de 55 yaşında bir kadın, sosyal medyada paylaştığı yalan bilgilerle aşırı sağcı sokak olaylarının fitilini ateşlediği iddiasıyla gözaltına alındı.",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/ingilterede-yalan-haber-baslattigi-iddiasiyla-bir-kisi-gozaltina-alindi-872292.html
"""Fed kararlarında ABD başkanı söz sahibi olmal",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/trump-fed-kararlarinda-abd-baskani-soz-sahibi-olmali-872291.html
Venezuela X'i kapatıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/venezuela-xi-kapatiyor-872288.html
Soykırımcı İsrail'in Gazze'ye saldırıları devam ediyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/soykirimci-israilin-gazzeye-saldirilari-devam-ediyor-872287.html
07:50Bakan Ersoy: 2024 yılı hedefimiz 60 milyon ziyaretçi,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/bakan-ersoy-2024-yili-hedefimiz-60-milyon-ziyaretci-872295.html
07:46Bölücü Terör Örgütü'ne darbe: 12 ilde Gürz-5 operasyonu,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/bolucu-teror-orgutune-darbe-12-ilde-gurz-5-operasyonu-872294.html
Bakan Ersoy: 2024 yılı hedefimiz 60 milyon ziyaretçi,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/bakan-ersoy-2024-yili-hedefimiz-60-milyon-ziyaretci-872295.html
"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, son 6 yıldır turizm hedeflerine ulaşıldığını söyledi. 2024 yılı için de ""60 milyon ziyaretçi, 60 milyar dolar gelir hedefimize doğru ilerliyoruz"" diyen. Bakan Ersoy, turizm konusunda Türkiye'nin dünyada en etkili reklam çalışmaları yapan ülke olduğunu belirtti.",https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/bakan-ersoy-2024-yili-hedefimiz-60-milyon-ziyaretci-872295.html
10:372024-KPSS Din Hizmetleri Alan Bilgisi Sınavı başvuruları başladı,https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/2024-kpss-din-hizmetleri-alan-bilgisi-sinavi-basvurulari-basladi-872309.html
10:31Pendik'te İETT otobüsünün çarptığı binanın yıkımına karar verildi,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/pendikte-iett-otobusunun-carptigi-binanin-yikimina-karar-verildi-872308.html
10:01İsimlerinin anlamı 'Kurt': Nogay Türkleri,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/isimlerinin-anlami-kurt-nogay-turkleri-872290.html
10:01Borsa güne yükselişle başladı,https://www.trthaber.comhttps://www.trthaber.com/haber/ekonomi/borsa-gune-yukselisle-basladi-872307.html
"09:56Brent petrolün varil fiyatı 79,09 dolar",https://www.trthaber.comhttps://www.trthaber.com/haber/ekonomi/brent-petrolun-varil-fiyati-7909-dolar-872306.html
09:06Küresel piyasalar pozitif seyrediyor,https://www.trthaber.comhttps://www.trthaber.com/haber/ekonomi/kuresel-piyasalar-pozitif-seyrediyor-872299.html
TEKNOFEST teknoloji yarışmalarına Antalya ev sahipliği yapacak,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/teknofest-teknoloji-yarismalarina-antalya-ev-sahipligi-yapacak-871866.html
10:42Bolu'nun suyunu kirletenlere ceza yağdı,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/bolunun-suyunu-kirletenlere-ceza-yagdi-872310.html
"10:44YÖKDİL, 101 bin 96 adayın katılımıyla yapılacak",https://www.trthaber.com/haber/bilim-teknoloji/teknofest-turkce-dogal-dil-isleme-yarismasinin-final-sureci-basladi-872146.htmlhttps://www.trthaber.com/haber/egitim/yokdil-101-bin-96-adayin-katilimiyla-yapilacak-872312.html
10:45Bolu'nun suyunu kirletenlere ceza yağdı,https://www.trthaber.com/haber/bilim-teknoloji/teknofest-turkce-dogal-dil-isleme-yarismasinin-final-sureci-basladi-872146.htmlhttps://www.trthaber.com/haber/turkiye/bolunun-suyunu-kirletenlere-ceza-yagdi-872310.html
"10:50Akdeniz'de 4,1 büyüklüğünde deprem",https://www.trthaber.com/haber/bilim-teknoloji/teknofest-turkce-dogal-dil-isleme-yarismasinin-final-sureci-basladi-872146.htmlhttps://www.trthaber.com/haber/turkiye/akdenizde-41-buyuklugunde-deprem-872313.html
